"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526886941192959,0,2,6,59,0,0,0,16,1.82422445909053
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.520362797994467,0,2,6,59,0,0,0,16,1.81162552967123
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.529239836499881,0,2,6,59,0,0,0,16,1.80250380185923
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.517647589596602,0,2,6,59,0,0,0,16,1.79731308391492
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.515847401404297,0,2,6,59,0,0,0,16,1.77731873992581
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522520659054427,0,2,6,59,0,0,0,16,1.8273635076129
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.516793978853926,0,2,6,59,0,0,0,16,1.80368554525787
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.529669271402887,0,2,6,59,0,0,0,16,1.82050975051085
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523249151580125,0,2,6,59,0,0,0,16,1.81099216173823
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524350808695141,0,2,6,59,0,0,0,16,1.83966754997662
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.520760332311894,0,2,6,59,0,0,0,16,1.79178183387357
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0203324267948923,1,2,6,59,0,0,0,16,1.78277943632424
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0222818716753518,1,2,6,59,0,0,0,16,1.80239543364409
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.023626564885014,1,2,6,59,0,0,0,16,1.81420776650082
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.021334710493291,1,2,6,59,0,0,0,16,1.7897473151295
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0218225159983256,1,2,6,59,0,0,0,16,1.79611296345878
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.0241965720681816,1,2,6,59,0,0,0,16,1.82126216556937
