"Name","locality","Longitude","Latitude","Altitude","month","year","pet","pr","tas","tasmax","tasmin","X","pet_c","pet_scaled","pr_scaled","tas_scaled"
"Haknovec","Hk",14.19022,49.93912,287,1,2012,1819,42.4,1.65000000000003,3.65000000000003,-0.649999999999977,5,7.45816245989226,-0.470690991188065,1.39944665556431,0.747308526719403
"Císarská rokle","Cr",14.13109,49.92955,270,1,2012,2016,44.05,1.55000000000001,3.55000000000001,-0.75,6,7.39230499153893,-0.453042850127689,1.44093696643517,0.749822473064623
"Kodská stena","Ks",14.12305,49.93391,350,1,2012,2370,44.08,1.35000000000002,3.35000000000002,-0.949999999999989,7,7.3092646455058,-0.490454466033453,1.47250048854965,0.715203272551167
"Radotánské údolí","Ru",14.312,49.99823,290,1,2012,2153,42.57,1.55000000000001,3.55000000000001,-0.75,8,7.38524508148443,-0.550656965025106,1.25513098458508,0.722253048673346
"Haknovec","Hk",14.19022,49.93912,287,1,2013,1547,39.16,-0.75,0.950000000000045,-3.44999999999999,5,6.52734529578229,-1.13189542960558,1.10526921193807,-0.0324916750747634
"Císarská rokle","Cr",14.13109,49.92955,270,1,2013,1480,40.22,-0.849999999999966,0.850000000000023,-3.54999999999995,6,6.4736592485589,-1.11249293900062,1.10179769300584,-0.0334523627809003
"Kodská stena","Ks",14.12305,49.93391,350,1,2013,1709,39.67,-0.949999999999989,0.75,-3.64999999999998,7,6.43887218821728,-1.12318952169657,1.07949896324238,-0.048122725995325
"Radotánské údolí","Ru",14.312,49.99823,290,1,2013,1629,42.23,-0.75,0.950000000000045,-3.54999999999995,8,6.55883817910796,-1.13449131295325,1.22591166941287,-0.0415087959007743
"Haknovec","Hk",14.19022,49.93912,287,1,2014,1334,15.65,1.35000000000002,4.25,-1.14999999999998,5,9.54292644511844,1.01021766975458,-1.02933316449797,0.64983350149513
"Císarská rokle","Cr",14.13109,49.92955,270,1,2014,1256,16.13,1.25,4.15000000000003,-1.25,6,9.48940917863858,1.05236394365172,-1.03132635318543,0.651913118583928
"Kodská stena","Ks",14.12305,49.93391,350,1,2014,1522,15.93,1.25,4.15000000000003,-1.25,7,9.49003662015505,1.09486588596827,-1.03611468999902,0.682015185657834
"Radotánské údolí","Ru",14.312,49.99823,290,1,2014,1314,19.13,1.45000000000005,4.35000000000002,-1.14999999999998,8,9.61005213165888,1.02110964252532,-0.7592829790516,0.689046011952744
"Haknovec","Hk",14.19022,49.93912,287,1,2015,1724,20.06,2.45000000000005,4.35000000000002,-0.0499999999999545,5,8.29552280898064,0.124126552707872,-0.628924977340037,1.00724192731746
"Císarská rokle","Cr",14.13109,49.92955,270,1,2015,1921,20.47,2.35000000000002,4.25,-0.149999999999977,6,8.24989668926708,0.162579576259385,-0.647027542040968,1.01091408501314
"Kodská stena","Ks",14.12305,49.93391,350,1,2015,2288,20.27,2.25,4.15000000000003,-0.25,7,8.20788147988041,0.162798406227324,-0.649351284141068,1.01389605459109
"Radotánské údolí","Ru",14.312,49.99823,290,1,2015,2049,22.31,2.35000000000002,4.35000000000002,-0.149999999999977,8,8.34980440901582,0.130778371983678,-0.485996443029218,0.98790934243826
"Haknovec","Hk",14.19022,49.93912,287,1,2016,1377,30.25,-0.0499999999999545,2.55000000000001,-3.34999999999997,5,8.93623147617239,0.579252898476144,0.296281241965928,0.194950050448547
"Císarská rokle","Cr",14.13109,49.92955,270,1,2016,1356,30.9,-0.149999999999977,2.45000000000005,-3.44999999999999,6,8.8783469747601,0.613712779441934,0.276529278290081,0.195002797674042
"Kodská stena","Ks",14.12305,49.93391,350,1,2016,1626,30.7,-0.25,2.35000000000002,-3.54999999999995,7,8.82493945148348,0.611371009011524,0.280128513807869,0.18419388225795
"Radotánské údolí","Ru",14.312,49.99823,290,1,2016,1478,31.74,-0.0499999999999545,2.55000000000001,-3.34999999999997,8,8.87826288422474,0.504120134248077,0.324409857188097,0.190940461143537
"Haknovec","Hk",14.19022,49.93912,287,1,2017,1253,16.91,-5.25,-1.44999999999999,-9.04999999999995,5,7.8885350803729,-0.164976509539815,-0.914930825309987,-1.4946170534388
"Císarská rokle","Cr",14.13109,49.92955,270,1,2017,1142,17.36,-5.34999999999997,-1.54999999999995,-9.14999999999998,6,7.82198076865722,-0.144599980204797,-0.922412173990111,-1.50209267999127
"Kodská stena","Ks",14.12305,49.93391,350,1,2017,1330,17.35,-5.25,-1.54999999999995,-9.04999999999995,7,7.7724133980932,-0.153766746264349,-0.909569981169917,-1.47521046240833
"Radotánské údolí","Ru",14.312,49.99823,290,1,2017,1303,18.13,-4.84999999999997,-1.04999999999995,-8.64999999999998,8,8.11210824286231,-0.0371476046413786,-0.84522214132279,-1.40299730144593
