"population","focal_cov","focal_min_max","other_mean_obs","projection","lambda","focal_full","scenario","focal_scenario","other_scenario"
"SierraRetinY5","fallR","max","mean",2,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"Vertedero","fallR","max","mean",2,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (max value) 
Other covariates = mean value","Next fall cumulative
rainfall = max value","mean value"
"SierraCarboneraY5","prevfallR","max","mean",2,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"SierraRetinY5","prevfallR","max","mean",2,0.826719688791633,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"Vertedero","prevfallR","max","mean",2,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (max value) 
Other covariates = mean value","Previous fall cumulative
rainfall = max value","mean value"
"SierraCarboneraY5","dens","max","mean",2,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"SierraRetinY5","dens","max","mean",2,1.0298424570525,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"Vertedero","dens","max","mean",2,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (max value) 
Other covariates = mean value","Aboveground density of
large individuals = max value","mean value"
"SierraCarboneraY5","size","max","mean",2,1.02434257962138,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"SierraRetinY5","size","max","mean",2,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"Vertedero","size","max","mean",2,Inf,"Size","Focal covariate = Size (max value) 
Other covariates = mean value","Size = max value","mean value"
"SierraCarboneraY5","TSF","max","mean",2,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"SierraRetinY5","TSF","max","mean",2,0.940157356635314,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"Vertedero","TSF","max","mean",2,Inf,"Time Since Fire","Focal covariate = Time Since Fire (max value) 
Other covariates = mean value","Time Since Fire = max value","mean value"
"SierraCarboneraY5","summerT","min","obs",2,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"SierraRetinY5","summerT","min","obs",2,Inf,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"Vertedero","summerT","min","obs",2,0.998007659036811,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = obs value","Next summer mean max.
daily temperature = min value","obs value"
"SierraCarboneraY5","prevwinterT","min","obs",2,Inf,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"SierraRetinY5","prevwinterT","min","obs",2,1.08843124607417,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"Vertedero","prevwinterT","min","obs",2,1.00151873902669,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = obs value","Previous winter mean max.
daily temperature = min value","obs value"
"SierraCarboneraY5","fallR","min","obs",2,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","fallR","min","obs",2,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"Vertedero","fallR","min","obs",2,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = obs value","Next fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","prevfallR","min","obs",2,0.741275667155461,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraRetinY5","prevfallR","min","obs",2,1.08550298203708,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"Vertedero","prevfallR","min","obs",2,0.994402088440156,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = obs value","Previous fall cumulative
rainfall = min value","obs value"
"SierraCarboneraY5","dens","min","obs",2,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraRetinY5","dens","min","obs",2,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"Vertedero","dens","min","obs",2,0.994671418063516,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = obs value","Aboveground density of
large individuals = min value","obs value"
"SierraCarboneraY5","size","min","obs",2,0.65621287850314,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraRetinY5","size","min","obs",2,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"Vertedero","size","min","obs",2,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = obs value","Size = min value","obs value"
"SierraCarboneraY5","TSF","min","obs",2,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
"SierraRetinY5","TSF","min","obs",2,Inf,"Time Since Fire","Focal covariate = Time Since Fire (min value) 
Other covariates = obs value","Time Since Fire = min value","obs value"
