"population","focal_vr","focal_cov","focal_min_max","projection","lambda","focal_vr_full","focal_cov_full","focal_cov_cat"
"Prisoneros","flowering","dens","max",1,0.712672598024581,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","max",1,1.04393002337995,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","max",1,0.95282666333762,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","max",1,0.908909558040152,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","max",1,0.850704335737103,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","max",1,0.840996872436464,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","max",1,0.829889098577185,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","min",2,0.863952380903106,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","min",2,0.855298352848434,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","min",2,1.16729051464049,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","min",2,0.943229761773254,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","min",2,0.911958241143897,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","min",2,0.940596106664929,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","min",2,0.857875593779409,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","non_repro_survival","summerT","min",2,0.848348556036341,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Bujeo","repro_survival","summerT","min",2,1.26469661976313,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","repro_survival","summerT","min",2,0.878560637371528,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","repro_survival","summerT","min",2,0.868641575128506,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","repro_survival","summerT","min",2,0.947746649386205,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","repro_survival","summerT","min",2,0.904206323297306,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","repro_survival","summerT","min",2,0.902208930540249,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","repro_survival","summerT","min",2,0.890334162023137,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","repro_survival","summerT","min",2,0.878979297123494,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","flowering","prevwinterT","min",2,0.912797045760919,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"SierraRetinY5","flowering","prevwinterT","min",2,0.846847124231245,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Vertedero","flowering","prevwinterT","min",2,0.825571172983325,"Reproduction","Previous winter mean max.
daily temperature","Temperature"
"Bujeo","non_repro_survival","fallR","min",2,1.29126524858573,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Prisoneros","non_repro_survival","fallR","min",2,0.96784385600751,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Retin","non_repro_survival","fallR","min",2,1.00583448244565,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"MonteraTorero","non_repro_survival","fallR","min",2,0.973834401436744,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SCarbDist","non_repro_survival","fallR","min",2,0.967558962945313,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraCarboneraY5","non_repro_survival","fallR","min",2,0.844823811305949,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"SierraRetinY5","non_repro_survival","fallR","min",2,0.925378206674464,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
"Vertedero","non_repro_survival","fallR","min",2,0.776785001745463,"Non-reproductive
survival","Next fall cumulative
rainfall","Rainfall"
