"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge"
"Retin",1,6,"RO1.6.10",1996,6.02586597382531,6.04025471127741,0,NA,NA,"1",NA,2011,15,">three","HG","J","LR",40,2,9
"Retin",1,6,"RO1.6.11",1996,5.48063892334199,5.82894561761021,0,NA,NA,"1",NA,2011,15,">three","HG","J","LR",40,2,9
"Retin",1,6,"RO1.6.12",1996,4.02535169073515,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.13",1996,3.40119738166216,4.17438726989564,0,NA,NA,"1",3.40119738166216,2011,15,">three","HG","SD","J",40,2,9
"Retin",1,6,"RO1.6.14",1996,3.73766961828337,5.23110861685459,0,NA,NA,"1",3.73766961828337,2011,15,">three","HG","J","SR",40,2,9
"Retin",1,6,"RO1.6.15",1996,4.14313472639153,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.16",1996,4.70048036579242,4.58496747867057,0,NA,NA,"1",NA,2011,15,">three","HG","J","SR",40,2,9
"Retin",1,6,"RO1.6.17",1996,3.2188758248682,2.89037175789616,0,NA,NA,"1",3.2188758248682,2011,15,">three","HG","SD","J",40,2,9
"Retin",1,6,"RO1.6.18",1996,3.73766961828337,NA,0,NA,NA,"0",3.73766961828337,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.19",1996,4.02535169073515,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.20",1996,3.73766961828337,NA,0,NA,NA,"0",3.73766961828337,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.21",1996,4.49980967033027,5.13579843705026,0,NA,NA,"1",NA,2011,15,">three","HG","J","SR",40,2,9
"Retin",1,6,"RO1.6.22",1996,2.99573227355399,NA,0,NA,NA,"0",2.99573227355399,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.23",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.24",1996,4.88280192258637,5.41164605185504,0,NA,NA,"1",NA,2011,15,">three","HG","J","SR",40,2,9
"Retin",1,6,"RO1.6.25",1996,3.58351893845611,NA,0,NA,NA,"0",3.58351893845611,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.26",1996,3.87120101090789,NA,0,NA,NA,"0",3.87120101090789,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.27",1996,4.14313472639153,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.28",1996,3.89182029811063,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.29",1996,3.73766961828337,NA,0,NA,NA,"0",3.73766961828337,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.30",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.31",1996,3.55534806148941,3.73766961828337,0,NA,NA,"1",3.55534806148941,2011,15,">three","HG","SD","J",40,2,9
"Retin",1,6,"RO1.6.32",1996,3.55534806148941,3.3322045101752,0,NA,NA,"1",3.55534806148941,2011,15,">three","HG","SD","J",40,2,9
"Retin",1,6,"RO1.6.33",1996,4.27666611901606,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.34",1996,2.19722457733622,NA,0,NA,NA,"0",2.19722457733622,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.35",1996,3.55534806148941,NA,0,NA,NA,"0",3.55534806148941,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.36",1996,3.80666248977032,NA,0,NA,NA,"0",3.80666248977032,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.37",1996,4.27666611901606,5.27811465923052,0,NA,NA,"1",NA,2011,15,">three","HG","J","SR",40,2,9
"Retin",1,6,"RO1.6.38",1996,6.17378610390194,NA,1,1,11,"0",NA,2011,15,">three","HG","LR",NA,40,2,9
"Retin",1,6,"RO1.6.39",1996,5.12396397940326,5.66296048013595,0,NA,NA,"1",NA,2011,15,">three","HG","J","LR",40,2,9
"Retin",1,6,"RO1.6.40",1996,4.39444915467244,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,7,"RO1.7.1",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,15,0,3
