"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00096116706341483,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000801184894437978,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000917533726888587,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00061954315961551,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000650021701899383,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00128390203984612,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00102060086505419,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00140138707630713,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000409358059587361,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00112564411583173,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00157596014826918,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000719573757283716,1,9.8,10,47,0,0
