"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.10670938779295,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.719857709492327,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.13175538132467,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.7534634798491,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.57961601143378,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.70966267675505,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.719857709492327,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",3.1605056405583,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.10763220444486,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.800579966273298,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.27049699902985,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.92655434186425,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.61743123793265,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.719857709492327,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",3.58116700516453,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.18799280139267,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.958588181345157,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.07125749162584,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.84910872151438,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.56461228502636,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.57425454320659,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.63186068046132,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.647442379276121,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.59591187035511,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.84910872151438,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.56461228502636,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.94630281483049,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.76658504227492,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.48171558455454,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.897088317686058,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.401374317095031,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.92852451861022,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.56461228502636,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.15354091071671,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.88907617255632,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.67812087237491,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.809194726736113,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.930204652553318,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.92508470960339,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.17243833842088,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.76079630096771,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.57411530681989,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.46590028637979,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.34311908486032,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.557113379426124,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.33027435341119,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.17243833842088,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.63931479227201,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.6187420901443,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.989726550024334,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.66540377544704,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.29882738597078,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.49130530379912,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.30201926464768,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.36220296893774,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",3.31586321989306,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",0.937988954599875,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.71311297824808,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.40284699758178,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.11290608550498,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.30201926464768,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.23565343298243,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.84057615220499,0,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",2.68497564764758,1,1,3,15,0,0,0,20
"10.1098/rstb.2022.0194",2023,"Birds","Prunella collaris","Europe","Tbr","C","all","all",1.64686847306119,0,1,3,15,0,0,0,20
